name,ring,quadrant,isNew,description
Atomic Design,"3 - Assess",Techniques,TRUE,"<a href=""https://atomicdesign.bradfrost.com/""><Atomic design</a> principles aim to solve a lot of the reuse and consistency issues that plague front end development."
LetsEncrypt,"2 - Trial",Platforms,TRUE,"LetsEncrypt makes rolling out certificates for your services easy.
No more paying for certificates or using that as an excuse not to secure your development environments."
MySQL 5.7,"1 - Adopt",Platforms,TRUE,"MySQL 5.6 is no longer actively supported on the latest versions of Ubunutu or Debian.
MySQL 5.7 also brings better support for utf8-mb4 and no longer has issues or special configuration required for index names lengths."
"Ubuntu 18.04
","1 - Adopt",Platforms,FALSE,"Ubuntu 18.04 is the latest LTS, it is required to make use of LetsEncrypt's certbot, latest versions of apache and security updates.
Hardware updates are provided until August 2020.
Maintenance updates are proviced util April 2023.
Our puppet based infrastructure should support this as a minimum.
"
Ubuntu 20.04,"3 - Assess",Platforms,TRUE,"Ubuntu 20.04 will be the next LTS release, we should assess its stability during the transistion window (April - August 2020) where Canonical provides support for both 18.04 and 20.04 LTS releases.
Our docker based infrastructure should support this as a minimum."
Ubuntu 15.10,"4 - Hold",Platforms,FALSE,"Ubuntu 15.10 was an interim release with only 8 months of support back in October 2015.
There are no security updates for this release anymore.
The main software repositories are also not available so even old software cannot be installed on these systems by default.
Migration away from 15.10 on our puppet infrastructure should be a priority.
No new projects or code should use 15.10.
"
Apache gateway,"4 - Hold",Tools,FALSE,"Apache is currently actively used as our reverse proxy/gateway technology.
Configuration relies on our ageing puppet configuration-as-code.
With our move towards microservices and quick deployment the lack of auto-discovery routes and configuration code changes needing to be pushed the inflexibility of Apache is starting to show.
New routes for new services should either be proxied through to Traefik or Traefik should be placed in front of our existing gateway and delegate old routes to Apache whilst upgrading existing routes where possible.
"
NetData,"3 - Assess",Platforms,TRUE,"<a href=""https://www.netdata.cloud/"">NetData</a> can provide bare metal monitoring of our server resources which is vital given our limited resource envalope.
The move to Dockerisation to better utilise resources requires us to have a baseline of our existing services and VM usage to gauge what and when we can introduce new services."
JLink,"3 - Assess",Languages-and-frameworks,TRUE,"Since the advent of Java 9 there has been the possibility to create a custom JVM for your services based on what modules they use.
This capability coupled with the Dockerisation of our services leads to the possibility of creating much smaller containers.
What additional costs to our build pipeline this incurs has yet to be seen."
Vagrant,"1 - Adopt",Platforms,FALSE,"Vagrant provides a quick and easy means to create a virtual machine with the tooling you require for a project regardless of the machine you are working on.
Despite the move to containerisation Vagrant still has an important role to play in local development and prototyping quickly since you get the power of a full OS with fast teardown and build."
Flyway,"1 - Adopt",Languages-and-frameworks,FALSE,"<a href=""https://flywaydb.org/"">Flyway</a> allow management of your database schema through code.
No longer do you need to worry about the differences between dev and production databases.
"
Choas Engineering,"3 - Assess",Techniques,TRUE,"<a href=""https://en.wikipedia.org/wiki/Chaos_engineering"">Chaos Engineering</a> has been around since 2011, it forces you to face unpredictable events such as server being switched off as a regular event instead of a one-off in order to promote a resiliency first mindset with your services and infrastructure.
<a href=""https://principlesofchaos.org/?lang=ENcontent"">Principles of Choas</a> highlights a working methodology for introducing choas engineering.
Tooling such as <a href=""https://chaostoolkit.org/"">ChoasToolkit</a> or Netflix's <a href=""https://github.com/netflix/chaosmonkey"">Choas Monkey</a> provide the means to do Chaos Engineering yourself."
Nomad,"3 - Assess",Platforms,TRUE,"At some point we shall move beyond the number of services and containers that can be actively orchestrated via a single docker-compose file.
If moving beyond a single machine host then a docker-compose file is even more lacking.
When this happens we need a distributed orchestrator that allows for multi machine/data centre deployments and works well with a service mesh such as consul and secrets as a service such as vault.
Nomad also allows for scaling of services to be distributed across hosts, the API allows for one time scale ups, A/B deployments, rolling deployments and roll backs."
Kanboard,"2 - Trial",Tools,FALSE,"Project management is difficult, especially when time is a constraint.
Kanboard allows for all tasks to be ticketed and in-flight tasks can be seen in one view (as per kanban princples)."
